competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936
One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086
One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505
Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465
Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824
Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628
Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988
Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076
Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556
Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924
Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505
Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974
